name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Anchorage Mayor,AK,LOCAL,US,1,3 years,http://www.muni.org/mayor/,2021-04-06 05:00:00+00:00,,,False,False,61.1603962811056,-149.522707292232,"Apr 06, 2021"
Colorado Springs City Council,CO,LOCAL,US,9,4 years,https://coloradosprings.gov/city-council,2021-04-06 05:00:00+00:00,Districts 1-6,,False,False,38.8667595323147,-104.773164383515,"Apr 06, 2021"
Fort Collins City Council & Mayor,CO,LOCAL,US,6,4 years,https://www.fcgov.com/council/,2021-04-06 05:00:00+00:00,,,False,False,40.5488600550268,-105.071385214141,"Apr 06, 2021"
Gainesville City Commission,FL,LOCAL,US,7,4 years,http://www.cityofgainesville.org/CityCommission.aspx,2021-03-16 05:00:00+00:00,"District 1, At Large 1",https://www.cityofgainesville.org/ClerkOfTheCommission/CityElections.aspx,False,False,29.6715798705208,-82.3478373826244,"Mar 16, 2021"
Lakeland City Commission,FL,LOCAL,US,7,4 years,https://www.lakelandgov.net/government/mayor-city-commission/,2021-04-06 05:00:00+00:00,Southeast District. Scott Franklin ran successful bid for congress. Don Selvage is serving as interim commissioner until Special Election.,,False,False,28.0589720305287,-81.9647334416327,"Apr 06, 2021"
Aurora City Council & Mayor,IL,LOCAL,US,12,4 years,https://www.aurora-il.org/222/Aldermens-Office,2021-04-06 05:00:00+00:00,"2 at-large seats, districts 2, 4, 7, 9, 10",,False,False,41.7587434854743,-88.2909600072367,"Apr 06, 2021"
Elgin City Council,IL,LOCAL,US,9,4 years,http://www.cityofelgin.org/index.aspx?nid=77,2021-04-06 05:00:00+00:00,,,False,False,42.0384660263759,-88.3226718200273,"Apr 06, 2021"
Joliet City Council,IL,LOCAL,US,9,4 years,http://cityofjoliet.info/government/city-council,2021-04-06 05:00:00+00:00,All at-large seats,,False,False,41.5327926422329,-88.1493915125661,"Apr 06, 2021"
Naperville City Council,IL,LOCAL,US,9,4 years,http://www.naperville.il.us/government/meet-your-city-council/,2021-04-06 05:00:00+00:00,4 seats,,False,False,41.7482618416274,-88.1656283789263,"Apr 06, 2021"
Peoria City Council,IL,LOCAL,US,11,4 years,http://www.peoriagov.org/city-council/,2021-04-06 05:00:00+00:00,Mayor and 5 numbered districts,,False,False,40.7399264893606,-89.6148261700478,"Apr 06, 2021"
