name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Western Australian Legislative Assembly,WA,STATE,AS,59,maximum of 4 years,https://www.parliament.wa.gov.au/,2021-03-13 05:00:00+00:00,,,False,False,-31.467450387132356,116.61742585180949,"Mar 13, 2021"
Western Australian Legislative Council,WA,STATE,AS,36,4 years,https://www.parliament.wa.gov.au/,2021-03-13 05:00:00+00:00,,,False,False,-31.467450387132356,116.61742585180949,"Mar 13, 2021"
Gainesville City Commission,FL,LOCAL,US,7,4 years,http://www.cityofgainesville.org/CityCommission.aspx,2021-03-16 05:00:00+00:00,"District 1, At Large 1",https://www.cityofgainesville.org/ClerkOfTheCommission/CityElections.aspx,False,False,29.671579870520834,-82.34783738262436,"Mar 16, 2021"
Anchorage Mayor,AK,LOCAL,US,1,3 years,http://www.muni.org/mayor/,2021-04-06 05:00:00+00:00,,,False,False,61.16039628110558,-149.52270729223233,"Apr 06, 2021"
Springfield City Council,MO,LOCAL,US,8,4 years,https://www.springfieldmo.gov/145/City-Council,2021-04-06 05:00:00+00:00,,,False,False,37.19206435352828,-93.29175759635461,"Apr 06, 2021"
Elgin City Council,IL,LOCAL,US,9,4 years,http://www.cityofelgin.org/index.aspx?nid=77,2021-04-06 05:00:00+00:00,,,False,False,42.03846602637594,-88.32267182002734,"Apr 06, 2021"
Rockford Mayor,IL,LOCAL,US,1,4 years,http://rockfordil.gov/mayors-office/,2021-04-06 05:00:00+00:00,Mayor and all 14 wards,,False,False,42.268638871163446,-89.0643607877167,"Apr 06, 2021"
Rockford City Council,IL,LOCAL,US,14,4 years,http://rockfordil.gov/city-council/,2021-04-06 05:00:00+00:00,Mayor and all 14 wards,,False,False,42.268638871163446,-89.0643607877167,"Apr 06, 2021"
Joliet City Council,IL,LOCAL,US,9,4 years,http://cityofjoliet.info/government/city-council,2021-04-06 05:00:00+00:00,All at-large seats,,False,False,41.53279264223287,-88.14939151256605,"Apr 06, 2021"
Aurora Mayor,IL,LOCAL,US,1,4 years,https://www.aurora-il.org/810/Mayors-Office,2021-04-06 05:00:00+00:00,,,False,False,41.75874348547432,-88.29096000723672,"Apr 06, 2021"
Fort Collins City Council,CO,LOCAL,US,6,4 years,https://www.fcgov.com/council/,2021-04-06 05:00:00+00:00,,,False,False,40.54886005502681,-105.07138521414107,"Apr 06, 2021"
Fort Collins Mayor,CO,LOCAL,US,1,2 years,https://www.fcgov.com/council/,2021-04-06 05:00:00+00:00,,,False,False,40.54886005502681,-105.07138521414107,"Apr 06, 2021"
Madison Common Council,WI,LOCAL,US,20,2 years,http://www.cityofmadison.com/council/,2021-04-06 05:00:00+00:00,All 20 seats,,False,False,43.0742768109256,-89.4055655385773,"Apr 06, 2021"
Wichita City Council,KS,LOCAL,US,6,4 years,https://www.wichita.gov/Council/Pages/default.aspx,2021-04-06 05:00:00+00:00,"Districts 1, 3, 6",,False,False,37.69069470742279,-97.34317023486336,"Apr 06, 2021"
Broken Arrow City Council,OK,LOCAL,US,5,4 years,http://www.brokenarrowok.gov/142/City-Council,2021-04-06 05:00:00+00:00,2 seats,,False,False,36.03661849988024,-95.78095414606894,"Apr 06, 2021"
Oklahoma City City Council,OK,LOCAL,US,8,4 years,http://www.okc.gov/council/,2021-04-06 05:00:00+00:00,"District 1, 3, 4, and 7.","https://ballotpedia.org/Oklahoma_City,_Oklahoma",False,False,35.478668125649115,-97.54417953261166,"Apr 06, 2021"
Springfield Mayor,MO,LOCAL,US,1,2 years,https://www.springfieldmo.gov/,2021-04-06 05:00:00+00:00,,,False,False,37.19206435352828,-93.29175759635461,"Apr 06, 2021"
Lakeland City Commission,FL,LOCAL,US,7,4 years,https://www.lakelandgov.net/government/mayor-city-commission/,2021-04-06 05:00:00+00:00,Southeast District. Scott Franklin ran successful bid for congress. Don Selvage is serving as interim commissioner until Special Election.,,False,False,28.05897203052868,-81.96473344163266,"Apr 06, 2021"
Peoria City Council,IL,LOCAL,US,11,4 years,http://www.peoriagov.org/city-council/,2021-04-06 05:00:00+00:00,Mayor and 5 numbered districts,,False,False,40.739926489360606,-89.6148261700478,"Apr 06, 2021"
St. Louis Board of Aldermen,MO,LOCAL,US,29,4 years,https://www.stlouis-mo.gov/government/departments/aldermen/,2021-04-06 05:00:00+00:00,,,False,False,38.6255516941337,-90.25118580204966,"Apr 06, 2021"
Columbia City Council,MO,LOCAL,US,7,3 years,http://www.como.gov/council/council-members/,2021-04-06 05:00:00+00:00,Wards 2 and 6,,False,False,38.9471441947662,-92.33432394154181,"Apr 06, 2021"
Naperville City Council,IL,LOCAL,US,9,4 years,http://www.naperville.il.us/government/meet-your-city-council/,2021-04-06 05:00:00+00:00,4 seats,,False,False,41.748261841627354,-88.16562837892633,"Apr 06, 2021"
Colorado Springs City Council,CO,LOCAL,US,9,4 years,https://coloradosprings.gov/city-council,2021-04-06 05:00:00+00:00,Districts 1-6,,False,False,38.86675953231465,-104.7731643835149,"Apr 06, 2021"
Jefferson City Council,MO,LOCAL,US,10,2 years,https://www.jeffersoncitymo.gov/government/council_members.php,2021-04-06 05:00:00+00:00,1 seat from each of 5 wards,,False,False,38.559165952111705,-92.18331090184476,"Apr 06, 2021"
Aurora City Council,IL,LOCAL,US,12,4 years,https://www.aurora-il.org/222/Aldermens-Office,2021-04-06 05:00:00+00:00,"2 at-large seats, districts 2, 4, 7, 9, 10",,False,False,41.75874348547432,-88.29096000723672,"Apr 06, 2021"
St. Louis Mayor,MO,LOCAL,US,1,,https://www.stlouis-mo.gov/government/departments/mayor/,2021-04-06 05:00:00+00:00,,,False,False,38.6255516941337,-90.25118580204966,"Apr 06, 2021"
McAllen City Commission,TX,LOCAL,US,7,4 years,http://www.mcallen.net/departments/commission,2021-05-01 05:00:00+00:00,,,False,False,26.226937161496217,-98.24587895003492,"May 01, 2021"
Fort Worth City Council,TX,LOCAL,US,8,2 years,http://fortworthtexas.gov/government/,2021-05-01 05:00:00+00:00,,,False,False,32.76029799475639,-97.33746447325295,"May 01, 2021"
Brownsville City Commission,TX,LOCAL,US,7,4 years,http://www.cob.us/807/City-Commission,2021-05-01 05:00:00+00:00,"AL-B, 3, 4",,False,False,25.967824013152587,-97.46543200763071,"May 01, 2021"
Lewisville Mayor,TX,LOCAL,US,1,3 years,,2021-05-01 05:00:00+00:00,Mayor and City Council positions,,False,False,33.04527001162522,-96.98234200937068,"May 01, 2021"
Arlington City Council,TX,LOCAL,US,8,2 years,http://www.arlington-tx.gov/citycouncil/,2021-05-01 05:00:00+00:00,Mayor and 4 council seats.,,False,False,32.69802586173272,-97.1230952560109,"May 01, 2021"
Dallas City Council,TX,LOCAL,US,14,2 years,http://dallascityhall.com/government/Pages/city-council.aspx,2021-05-01 05:00:00+00:00,,https://dallascityhall.com/government/citysecretary/elections/Pages/elections.aspx,False,False,32.81077862201766,-96.7769857166466,"May 01, 2021"
Amarillo City Council,TX,LOCAL,US,5,2 years,http://amarillo.gov/city-hall/city-government/mayor-council-members,2021-05-01 05:00:00+00:00,All,,False,False,35.19882750980941,-101.83078752622721,"May 01, 2021"
San Antonio Mayor,TX,LOCAL,US,1,2 years,http://www.sanantonio.gov/mayor/,2021-05-01 05:00:00+00:00,Mayor and all council seats,https://www.sanantonio.gov/ElectionsCampaignFinance,False,False,29.472206744958783,-98.52841630261986,"May 01, 2021"
San Antonio City Council,TX,LOCAL,US,10,2 years,http://www.sanantonio.gov/council/,2021-05-01 05:00:00+00:00,Mayor and all council seats,https://www.sanantonio.gov/ElectionsCampaignFinance,False,False,29.472206744958783,-98.52841630261986,"May 01, 2021"
Fort Worth Mayor,TX,LOCAL,US,1,2 years,http://fortworthtexas.gov/mayor/,2021-05-01 05:00:00+00:00,,,False,False,32.76029799475639,-97.33746447325295,"May 01, 2021"
Arlington Mayor,TX,LOCAL,US,1,,https://www.arlingtontx.gov/city_hall/government/mayor,2021-05-01 05:00:00+00:00,Mayor and 4 council seats.,,False,False,32.69802586173272,-97.1230952560109,"May 01, 2021"
Pasadena City Council,TX,LOCAL,US,9,"2 years for Councilmembers, 4 years for Mayor",https://www.pasadenatx.gov/406/City-Council,2021-05-01 05:00:00+00:00,,,False,False,29.670917091556895,-95.16814139651392,"May 01, 2021"
