name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Albany Common Council,NY,LOCAL,US,16,4,https://www.albanyny.gov/Government/CityOfficials/CommonCouncil.aspx,2021-11-02 05:00:00+00:00,,,False,False,42.6610874341904,-73.7876472085018,"Nov 02, 2021"
Albuquerque City Council & Mayor,NM,LOCAL,US,9,4 years,http://www.cabq.gov/council/,2021-11-02 05:00:00+00:00,Mayor and odd districts,https://en.wikipedia.org/wiki/2021_Albuquerque_mayoral_election,False,False,35.1071105918069,-106.627846672883,"Nov 02, 2021"
Alexandria City Council,VA,LOCAL,US,7,3 years,https://www.alexandriava.gov/Council,2021-11-02 05:00:00+00:00,Mayor and all council seats,,False,False,38.8183741860603,-77.0861700574738,"Nov 02, 2021"
Allegheny County Council,PA,LOCAL,US,15,4 years,http://www.alleghenycounty.us/council/index.aspx,2021-11-02 05:00:00+00:00,"1, 3, 4, 8, 9, 12",http://www.alleghenycounty.us/elections/election-calendar.aspx,False,False,40.4480983612023,-79.9714352883813,"Nov 02, 2021"
Allentown City Council & Mayor,PA,LOCAL,US,7,4 years,https://www.allentownpa.gov/Government/City-Council,2021-11-02 05:00:00+00:00,Mayor + 4 council seats,,False,False,40.5961003588033,-75.4755418471669,"Nov 02, 2021"
Arlington County Board,VA,LOCAL,US,5,4 years,https://countyboard.arlingtonva.us/,2021-11-02 05:00:00+00:00,One seat,,False,False,38.8785851111084,-77.101017493324,"Nov 02, 2021"
Arvada City Council,CO,LOCAL,US,7,4 years,https://arvada.org/city-hall/city-council,2021-11-02 05:00:00+00:00,"Districts 1, 3 and 1 at-large",,False,False,39.8274556104234,-105.130621421206,"Nov 02, 2021"
Atlanta City Council & Mayor,GA,LOCAL,US,16,4 years,http://citycouncil.atlantaga.gov/,2021-11-02 05:00:00+00:00,All seats,,False,False,33.7634588899988,-84.4103598088574,"Nov 02, 2021"
Atlantic City Council & Mayor,NJ,LOCAL,US,9,4 years,http://www.cityofatlanticcity.org/Departments/administration-department,2021-11-02 05:00:00+00:00,,,False,False,39.3704606630912,-74.444733104243,"Nov 02, 2021"
Aurora City Council,CO,LOCAL,US,10,4 years,https://www.auroragov.org/city_hall/mayor___city_council/,2021-11-02 05:00:00+00:00,"Wards I, II, and III + 2 At-Large seats",,False,False,39.6817986910652,-104.790575755273,"Nov 02, 2021"
Bellevue City Council,WA,LOCAL,US,7,4 years,https://bellevuewa.gov/city-government/city-council/,2021-11-02 05:00:00+00:00,Even Positions,,False,False,47.5953193040164,-122.155046579526,"Nov 02, 2021"
Billings City Council & Mayor,MT,LOCAL,US,10,4 years,http://ci.billings.mt.us/107/City-Council,2021-11-02 05:00:00+00:00,Mayor and 1 seat from each district,,False,False,45.7894298953001,-108.550172716828,"Nov 02, 2021"
Boise City Council,ID,LOCAL,US,6,4 years,http://citycouncil.cityofboise.org/,2021-11-02 05:00:00+00:00,"Seats 2, 4, 6",https://www.cityofboise.org/departments/finance-and-administration/city-clerk/city-elections/,False,False,43.6005449201152,-116.2317299586,"Nov 02, 2021"
Boston City Council & Mayor,MA,LOCAL,US,13,2 years,http://www.cityofboston.gov/citycouncil/,2021-11-02 05:00:00+00:00,13 seats,https://en.wikipedia.org/wiki/2021_Boston_City_Council_election,False,False,42.318415774191,-71.0904615823079,"Nov 02, 2021"
Boulder City Council,CO,LOCAL,US,9,4 years and 2 years (for 5th member elected each election),https://bouldercolorado.gov/city-council,2021-11-02 05:00:00+00:00,,,False,False,40.0272930114511,-105.251550810652,"Nov 02, 2021"
Bridgeport City Council,CT,LOCAL,US,20,2 years,https://bridgeportct.gov/content/341441/341399/default.aspx,2021-11-02 05:00:00+00:00,All seats,,False,False,41.1914776875054,-73.1970507626342,"Nov 02, 2021"
Bronx Borough President,NY,LOCAL,US,1,4 years,http://bronxboropres.nyc.gov/,2021-11-02 05:00:00+00:00,,,False,False,40.7186206645279,-73.9239051354752,"Nov 02, 2021"
Brooklyn Borough President,NY,LOCAL,US,1,4 years,http://www.brooklyn-usa.org/,2021-11-02 05:00:00+00:00,,,False,False,40.7186206645279,-73.9239051354752,"Nov 02, 2021"
Bucks County District Attorney,PA,LOCAL,US,1,4 years,http://www.buckscounty.org/government/RowOfficers/DistrictAttorney,2021-11-02 05:00:00+00:00,,,False,False,40.3368861357464,-75.1068197404598,"Nov 02, 2021"
Buffalo Mayor,NY,LOCAL,US,1,,https://www.buffalony.gov/490/Mayor,2021-11-02 05:00:00+00:00,,,False,False,42.9082295345728,-78.8494448407554,"Nov 02, 2021"
Cambridge City Council,MA,LOCAL,US,9,2 years,https://www.cambridgema.gov/Departments/citycouncil,2021-11-02 05:00:00+00:00,,,False,False,42.3757984497285,-71.1183737849265,"Nov 02, 2021"
Cedar Rapids City Council,IA,LOCAL,US,9,4 years,http://www.cedar-rapids.org/local_government/city_council/mayor_and_city_council/index.php,2021-11-02 05:00:00+00:00,"1 at-large seat and districts 1, 3, 5; mayor",,False,False,41.980152755983,-91.6761204473296,"Nov 02, 2021"
Centennial City Council,CO,LOCAL,US,9,4 years,https://www.centennialco.gov/Government/Mayor-Council,2021-11-02 05:00:00+00:00,Mayor and 1 seat from each district,,False,False,39.5953214951982,-104.874917940387,"Nov 02, 2021"
Charleston City Council,SC,LOCAL,US,12,4 years,http://charleston-sc.gov/index.aspx?NID=180,2021-11-02 05:00:00+00:00,Even numbered districts.,,False,False,,,
Chester County Controller,PA,LOCAL,US,1,,https://www.chesco.org/206/Controller,2021-11-02 05:00:00+00:00,,,False,False,39.9732178954786,-75.7484332994859,"Nov 02, 2021"
Cincinnati City Council & Mayor,OH,LOCAL,US,9,4 years,http://www.cincinnati-oh.gov/council/pages/-3412-/,2021-11-02 05:00:00+00:00,,,False,False,39.1412705690365,-84.505915298459,"Nov 02, 2021"
Cleveland City Council & Mayor,OH,LOCAL,US,17,4 years,http://www.clevelandcitycouncil.org/,2021-11-02 05:00:00+00:00,,,False,False,41.4792066313414,-81.6704514896954,"Nov 02, 2021"
College Station City Council,TX,LOCAL,US,7,4 years,https://www.cstx.gov/departments___city_hall/council,2021-11-02 05:00:00+00:00,Two at-large seats (Place 4 and Place 6).,https://www.cstx.gov/departments___city_hall/elections,False,False,30.585274890598,-96.2959455101368,"Nov 02, 2021"
Columbia City Council & Mayor,SC,LOCAL,US,6,4 years,https://www.columbiasc.net/city-council,2021-11-02 05:00:00+00:00,"Mayor, Districts 1 and 4, and one At-Large council member.",,False,False,34.0283806295737,-80.9672501849945,"Nov 02, 2021"
Columbus City Council,OH,LOCAL,US,7,4 years,http://www.columbuscitycouncil.org/,2021-11-02 05:00:00+00:00,,,False,False,39.9861710531357,-82.9850078120377,"Nov 02, 2021"
Davenport City Council & Mayor,IA,LOCAL,US,10,2 years,http://www.cityofdavenportiowa.com/cms/One.aspx?portalId=6481456&pageId=7274096,2021-11-02 05:00:00+00:00,All seats,,False,False,41.5535592811237,-90.5933592825869,"Nov 02, 2021"
Dayton City Commission,OH,LOCAL,US,5,4 years,https://www.daytonohio.gov/159/City-Commission-Office,2021-11-02 05:00:00+00:00,3 seats,https://www.mcohio.org/government/county_agencies/board_of_elections/upcoming_elections/index.php,False,False,39.7797607738843,-84.199802366801,"Nov 02, 2021"
Delaware County Council & Controller,PA,LOCAL,US,5,4 years,https://www.delcopa.gov/electedofficials/index.html,2021-11-02 05:00:00+00:00,2 seats,,False,False,39.9166978025274,-75.399033527915,"Nov 02, 2021"
Des Moines City Council,IA,LOCAL,US,7,4 years,https://www.dsm.city/government/index.php,2021-11-02 05:00:00+00:00,"Wards 1 and 3, At-large",,False,False,41.5831535260806,-93.6155235234982,"Nov 02, 2021"
Detroit City Council & Mayor,MI,LOCAL,US,9,4 years,http://www.detroitmi.gov/Government/City-Council,2021-11-02 05:00:00+00:00,,,False,False,42.3870919491186,-83.1065380273021,"Nov 02, 2021"
