name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Abilene City Council,TX,LOCAL,US,7,3 years,https://www.abilenetx.gov/526/City-Council,2022-05-07 05:00:00+00:00,"place 5, place 6",https://abilenetx.gov/309/Elections,False,False,32.4542801997807,-99.7384004427919,"May 07, 2022"
Allen City Council,TX,LOCAL,US,7,3 years,https://www.cityofallen.org/917/Allen-City-Council,2022-05-07 05:00:00+00:00,"Places 4, 6",,False,False,33.1087745711143,-96.6735151515369,"May 07, 2022"
Anchorage Assembly,AK,LOCAL,US,11,3 years,https://www.muni.org/departments/assembly/pages/default.aspx,2022-04-05 05:00:00+00:00,One seat each in districts 2-6.,,False,False,61.1603962811056,-149.522707292232,"Apr 05, 2022"
Arlington City Council & Mayor,TX,LOCAL,US,8,2 years,http://www.arlington-tx.gov/citycouncil/,2022-05-07 05:00:00+00:00,"Council seats 1 and 2, and two at-large seats (6 and 7)",,False,False,32.6980258617327,-97.1230952560109,"May 07, 2022"
Australia Senate,,NATIONAL,AS,76,,https://www.aph.gov.au/about_parliament/senate,2022-05-21 05:00:00+00:00,On or before 21 May 2022 (half-Senate),,False,False,-32.7889203234627,144.421643150135,"May 21, 2022"
Cary Town Council,NC,LOCAL,US,7,4 years,http://www.townofcary.org/mayor-council/town-council,2022-05-17 05:00:00+00:00,"1 At-large, A, C",,False,False,35.781999917401,-78.816338536679,"May 17, 2022"
Charlotte City Council,NC,LOCAL,US,12,2 years,https://charlottenc.gov/citycouncil/Pages/default.aspx,2022-04-26 05:00:00+00:00,Mayor and all council seats,,False,False,35.2067066337518,-80.8176772800361,"Apr 26, 2022"
Chesapeake City Council,VA,LOCAL,US,9,4 years,https://www.cityofchesapeake.net/government/council.htm,2022-05-03 05:00:00+00:00,5 seats,,False,False,36.677744495708,-76.3024182871377,"May 03, 2022"
Columbia City Council,MO,LOCAL,US,7,3 years,https://www.como.gov/boards/city-council/,2022-04-05 05:00:00+00:00,"Mayor, Ward 3, Ward 4",,False,False,38.9471441947662,-92.3343239415418,"Apr 05, 2022"
Columbus City Council & Mayor,GA,LOCAL,US,10,4 years,http://www.columbusga.org/council/council.htm,2022-05-24 05:00:00+00:00,Mayor and odd district seats,,False,False,32.5014504345666,-84.9239836558841,"May 24, 2022"
Commission of Athens-Clarke County,GA,LOCAL,US,10,4 years,https://www.accgov.com/168/Commission-Information-Biographies,2022-05-24 05:00:00+00:00,mayor + odd districts,,False,False,33.9507099417212,-83.3770231499134,"May 24, 2022"
Denton City Council,TX,LOCAL,US,7,2 years,https://www.cityofdenton.com/government/city-officials/city-council,2022-05-07 05:00:00+00:00,"Mayor, 2 At-large",,False,False,33.2086020423509,-97.1330246110292,"May 07, 2022"
Eugene City Council,OR,LOCAL,US,8,4 years,https://www.eugene-or.gov/537/Mayor-and-City-Council,2022-05-17 05:00:00+00:00,"District 3, 4, 5, 6",,False,False,44.0570514942879,-123.113007440258,"May 17, 2022"
Fairfax City Council & Mayor,VA,LOCAL,US,6,2 years,https://www.fairfaxva.gov/government/mayor-city-council,2022-05-03 05:00:00+00:00,All positions,,False,False,38.8529885364839,-77.2999048511569,"May 03, 2022"
Fayetteville City Council,NC,LOCAL,US,10,2 years,https://www.fayettevillenc.gov/city-council,2022-04-26 05:00:00+00:00,All,,False,False,35.0750426135383,-78.9679589524612,"Apr 26, 2022"
Garland City Council,TX,LOCAL,US,9,2 years,https://www.garlandtx.gov/758/City-Council,2022-05-07 05:00:00+00:00,"Mayor, and Districts 1, 2, 4, 5",,False,False,32.9064597090776,-96.6344061985364,"May 07, 2022"
Grand Prairie City Council,TX,LOCAL,US,9,3 years,https://www.gptx.org/city-government/mayor-and-city-council,2022-05-07 05:00:00+00:00,"Districts 2, District 4, Mayor",https://www.gptx.org/city-government/city-secretary/elections,False,False,32.6931706574072,-97.0168625319254,"May 07, 2022"
Green Bay Common Council,WI,LOCAL,US,12,2 years,https://greenbaywi.gov/617/Common-Council,2022-04-05 05:00:00+00:00,All 12 seats.,,False,False,44.5127087433422,-88.0077570914884,"Apr 05, 2022"
Greensboro City Council & Mayor,NC,LOCAL,US,8,4 Years,https://www.greensboro-nc.gov/government/city-council,2022-04-26 05:00:00+00:00,,,False,False,36.0940711589026,-79.8267342876305,"Apr 26, 2022"
Hampton City Council,VA,LOCAL,US,7,4 years,https://hampton.gov/222/City-Council,2022-05-03 05:00:00+00:00,3 councilmembers,,False,False,37.0487489658237,-76.2953598852645,"May 03, 2022"
Independence City Council,MO,LOCAL,US,7,4 years,https://www.ci.independence.mo.us/CityCouncil,2022-04-05 05:00:00+00:00,mayor and 2 at-large councilmembers,,False,False,39.0827401165903,-94.3746212381341,"Apr 05, 2022"
Irving City Council,TX,LOCAL,US,8,3 years,https://www.cityofirving.org/210/Meet-Your-Mayor-and-Council,2022-05-07 05:00:00+00:00,"Places 1, 2, and 7",,False,False,32.8537487920092,-96.9668791458442,"May 07, 2022"
Jefferson City Council,MO,LOCAL,US,10,2 years,https://www.jeffersoncitymo.gov/government/council_members.php,2022-04-05 05:00:00+00:00,1 seat from each of 5 wards,,False,False,38.5591659521117,-92.1833109018448,"Apr 05, 2022"
Killeen City Council,TX,LOCAL,US,8,2 years,http://www.killeentexas.gov/153/City-Council,2022-05-07 05:00:00+00:00,At-large + Mayor,http://killeentexas.gov/153/City-Council,False,False,31.0772936820629,-97.7287514081938,"May 07, 2022"
Lancaster City Council,CA,LOCAL,US,5,4 years,https://www.cityoflancasterca.org/about-us/city-government/city-officials/city-council,2022-04-12 05:00:00+00:00,,,False,False,34.6934351438792,-118.175243299981,"Apr 12, 2022"
Lewisville City Council,TX,LOCAL,US,5,3 years,https://www.cityoflewisville.com/about-us/mayor-and-council/city-council-bios,2022-05-07 05:00:00+00:00,Places 4 and 5,,False,False,33.0452700116252,-96.9823420093707,"May 07, 2022"
Lubbock City Council,TX,LOCAL,US,7,"2 years (Mayor), 4 years (Council)",https://ci.lubbock.tx.us/pages/city-government/city-council,2022-05-07 05:00:00+00:00,"Districts 1, 3, 5",,False,False,33.5609733311121,-101.89059076105,"May 07, 2022"
Mayor of Athens-Clarke County,GA,LOCAL,US,1,4 years,https://www.accgov.com/mayor,2022-05-24 05:00:00+00:00,mayor + odd districts,,False,False,33.9507099417212,-83.3770231499134,"May 24, 2022"
Newark City Council & Mayor,NJ,LOCAL,US,9,4 years,https://www.newarknj.gov/council-members,2022-05-10 05:00:00+00:00,Mayor and all seats,http://www.essexclerk.com/Election/,False,False,40.7332712295179,-74.1811140572954,"May 10, 2022"
Newport News City Council,VA,LOCAL,US,7,4 years,https://www.nnva.gov/465/Elected-Officials,2022-05-03 05:00:00+00:00,"Mayor, 1B, 2B, 3B",,False,False,37.0856913577331,-76.5060294095786,"May 03, 2022"
Norfolk City Council,VA,LOCAL,US,8,4 years,http://www.norfolk.gov/Index.aspx?NID=200,2022-05-03 05:00:00+00:00,Superwards 1-5,,False,False,36.8970942350275,-76.2611409571368,"May 03, 2022"
Northern Ireland Assembly,NIR,STATE,UK,90,5 Years,http://www.niassembly.gov.uk/,2022-05-05 05:00:00+00:00,"This election was originally scheduled for May 6, 2021, but was pushed to 2022 after a snap election in March 2017.",,False,False,54.6209152978361,-6.33490254289451,"May 05, 2022"
Oregon Metro Council & President,OR,LOCAL,US,6,4 years,https://www.oregonmetro.gov/regional-leadership/metro-council,2022-05-03 05:00:00+00:00,"District 1, 2, and 4.",,False,False,45.4832904391094,-122.681638327952,"May 03, 2022"
Paterson City Council & Mayor,NJ,LOCAL,US,9,4 years,https://www.patersonnj.gov/council/,2022-05-10 05:00:00+00:00,at large council seats and Mayor,,False,False,40.9147162810891,-74.1626110900364,"May 10, 2022"
Pearland City Council,TX,LOCAL,US,7,3 years,https://www.pearlandtx.gov/government/city-council,2022-05-07 05:00:00+00:00,"Districts 3, 7 and Mayor",,False,False,29.5585186607704,-95.3200788346492,"May 07, 2022"
