id,sk,name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff
2217,938,Governor of Baja California,BCN,STATE,MX,1,6 years,http://www.bajacalifornia.gob.mx/portal/gobierno/gobernador.jsp,2025-06-01 00:00:00+00,,,False,False
3917,3132,Chattanooga Mayor,TN,LOCAL,US,1,4 years,http://www.chattanooga.gov/mayors-office,2025-03-04 00:00:00+00,Mayor and all 9 district council members,,False,False
6492,3131,Chattanooga City Council,TN,LOCAL,US,9,4 years,http://www.chattanooga.gov/city-council,2025-03-04 00:00:00+00,Mayor and all 9 district council members,,False,False
6493,5738,Tuscaloosa City Council,AL,LOCAL,US,7,4 years,https://www.tuscaloosa.com/citycouncil,2025-03-04 00:00:00+00,All Districts and Mayor,,False,False
6494,5737,Tuscaloosa Mayor,AL,LOCAL,US,1,4 years,https://www.tuscaloosa.com/government/mayor,2025-03-04 00:00:00+00,All Districts and Mayor,,False,False
5904,4862,Regina Mayor,SK,LOCAL,CA,1,4 years,https://www.regina.ca/residents/regina-mayor/,2024-11-13 00:00:00+00,Mayor and City Council,https://www.regina.ca/,False,False
6203,4861,Regina City Council,SK,LOCAL,CA,10,4 years,https://www.regina.ca/residents/council-committees/meet-city-council/,2024-11-13 00:00:00+00,Mayor and City Council,https://www.regina.ca/,False,False
505,505,Pennsylvania State Treasurer,PA,STATE,US,1,4 years,http://www.patreasury.org/,2024-11-05 00:00:00+00,"Attorney General, Auditor General, Treasurer, House, and even-number Senate districts",,False,False
1491,766,North Dakota Governor,ND,STATE,US,1,4 years,http://governor.nd.gov/,2024-11-05 00:00:00+00,,,False,False
2616,521,Fresno Mayor,CA,LOCAL,US,1,4 years,http://www.fresno.gov/,2024-11-05 00:00:00+00,,,False,False
2651,457,Stockton Mayor,CA,LOCAL,US,1,4 years,http://www.stocktongov.com/government/council/default.html,2024-11-05 00:00:00+00,,,False,False
2898,2735,Pinal County Board of Supervisors,AZ,LOCAL,US,5,4 years,http://www.pinalcountyaz.gov/bos/Pages/Home.aspx,2024-11-05 00:00:00+00,,,False,False
2901,2727,Gila County Board of Supervisors,AZ,LOCAL,US,3,4 years,http://www.gilacountyaz.gov/government/board_of_supervisors/index.php,2024-11-05 00:00:00+00,,,False,False
2906,2732,Mohave County Board of Supervisors,AZ,LOCAL,US,5,4 years,http://www.mohavecounty.us/ContentPage.aspx?id=188,2024-11-05 00:00:00+00,,,False,False
2907,2733,Navajo County Board of Supervisors,AZ,LOCAL,US,5,4 years,http://ext.navajocountyaz.gov/bos/,2024-11-05 00:00:00+00,,,False,False
2910,2737,Yavapai County Board of Supervisors,AZ,LOCAL,US,5,4 years,http://www.yavapai.us/bos/,2024-11-05 00:00:00+00,,,False,False
4268,2734,Pima County Board of Supervisors,AZ,LOCAL,US,5,4 years,http://webcms.pima.gov/government/board_of_supervisors,2024-11-05 00:00:00+00,,,False,False
4308,791,Pennsylvania Attorney General,PA,STATE,US,1,4 years,http://www.attorneygeneral.gov/,2024-11-05 00:00:00+00,"Attorney General, Auditor General, Treasurer, House, and even-number Senate districts",,False,False
4441,7,North Carolina Governor,NC,STATE,US,1,4 years,http://www.governor.state.nc.us/,2024-11-05 00:00:00+00,,,False,False
4450,608,Indiana Governor,IN,STATE,US,1,4 years,http://www.in.gov/gov/,2024-11-05 00:00:00+00,,,False,False
4451,742,Montana Governor,MT,STATE,US,1,4 years,http://governor.mt.gov/,2024-11-05 00:00:00+00,,,False,False
4454,601,West Virginia Governor,WV,STATE,US,1,4 years,http://www.governor.wv.gov/Pages/default.aspx,2024-11-05 00:00:00+00,,,False,False
4460,710,Utah Governor,UT,STATE,US,1,4 years,http://www.utah.gov/governor/,2024-11-05 00:00:00+00,,,False,False
4525,3743,Mayor of Elizabeth,NJ,LOCAL,US,1,4 years,http://www.elizabethnj.org/city-council/mayors-office,2024-11-05 00:00:00+00,,,False,False
4648,1021,Phoenix Mayor,AZ,LOCAL,US,1,4 years,https://www.phoenix.gov/mayorcouncil,2024-11-05 00:00:00+00,,https://www.phoenix.gov/cityclerk/elections,False,False
4668,3264,Roseville City Council,CA,LOCAL,US,5,4 years,https://www.roseville.ca.us/government/city_council,2024-11-05 00:00:00+00,"District 1, 3, 5",,False,False
4824,3234,Simi Valley City Council,CA,LOCAL,US,5,4 years (2 years for mayor),http://www.simivalley.org/departments/city-council,2024-11-05 00:00:00+00,2 seats (4 year term) plus Mayor (2 year term),,False,False
4949,2730,La Paz County Board of Supervisors,AZ,LOCAL,US,3,4 years,http://www.co.la-paz.az.us/231/Board-of-Supervisors,2024-11-05 00:00:00+00,,,False,False
4969,2725,Cochise County Board of Supervisors,AZ,LOCAL,US,3,4 years,https://www.cochise.az.gov/board-supervisors/home,2024-11-05 00:00:00+00,,,False,False
5267,1080,Phoenix City Council,AZ,LOCAL,US,8,4 years,https://www.phoenix.gov/mayorcouncil,2024-11-05 00:00:00+00,"District 1, 3, 5, 7",https://www.phoenix.gov/cityclerk/elections,False,False
5338,756,Virginia Beach Mayor,VA,LOCAL,US,1,4 years,https://www.vbgov.com/government/departments/city-clerk/mayor/Pages/default.aspx,2024-11-05 00:00:00+00,,,False,False
5382,2874,Baton Rouge Metropolitan Council,LA,LOCAL,US,12,4 years,https://www.brla.gov/561/Metropolitan-Council,2024-11-05 00:00:00+00,,,False,False
5516,117,Las Vegas Mayor,NV,LOCAL,US,1,4 years,https://www.lasvegasnevada.gov/Government/Mayor-City-Council/Mayor,2024-11-05 00:00:00+00,,,False,False
5586,2729,Greenlee County Board of Supervisors,AZ,LOCAL,US,3,4 years,https://www.co.greenlee.az.us/elected-officials/board-of-supervisors,2024-11-05 00:00:00+00,,,False,False
5587,2723,Apache County Board of Supervisors,AZ,LOCAL,US,3,4 years,https://www.co.apache.az.us/board-of-supervisors/,2024-11-05 00:00:00+00,,,False,False
5762,2511,Miami-Dade County Mayor,FL,LOCAL,US,1,4,,2024-11-05 00:00:00+00,,,False,False
5798,586,Baltimore Mayor,MD,LOCAL,US,1,4 years,http://www.baltimorecitycouncil.com/,2024-11-05 00:00:00+00,All Districts and Mayor are up for election.,,False,False
5801,138,El Paso Mayor,TX,LOCAL,US,1,4 years,http://www.elpasotexas.gov/government.asp,2024-11-05 00:00:00+00,"Mayor, District 2, 3, 4, 7",,False,False
5802,2568,Indiana Lieutenant Governor,IN,STATE,US,1,4 years,,2024-11-05 00:00:00+00,,,False,False
5803,2576,Missouri Lieutenant Governor,MO,STATE,US,1,4 years,,2024-11-05 00:00:00+00,,,False,False
5804,2789,Montana Lieutenant Governor,MT,STATE,US,1,4 years,,2024-11-05 00:00:00+00,,,False,False
