"id","sk","name_formal","state","gov_type","country_code","official_count","term_length","url","upcoming_election","ue_remarks","ue_url_1","special","runoff","ue_cicero_link"
56,56,"Richmond Mayor","VA","LOCAL","US",1,"","http://www.richmondgov.com/Mayor/index.aspx","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14668/change/"
138,138,"El Paso Mayor","TX","LOCAL","US",1,"","http://www.elpasotexas.gov/government.asp","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16733/change/"
216,216,"Portland Mayor","OR","LOCAL","US",1,"","http://www.portlandonline.com/?c=25999","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14659/change/"
320,320,"Vice President of the United States","","NATIONAL","US",1,"","http://www.whitehouse.gov/administration/vice-president-biden","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14727/change/"
484,484,"Berkeley Mayor","CA","LOCAL","US",1,"","http://www.ci.berkeley.ca.us/mayor/","2020-11-03 00:00:00+00","Mayor & Council Districts 2, 3, 5, and 6","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/18146/change/"
505,505,"Pennsylvania State Treasurer","PA","STATE","US",1,"4 years","http://www.patreasury.org/","2020-11-03 00:00:00+00","Attorney General, Auditor General, Treasurer, House, and odd numbered Senate districts","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/13759/change/"
530,530,"Oxnard Mayor","CA","LOCAL","US",1,"","http://citycouncil.cityofoxnard.org/Default.aspx?DepartmentID=3","2020-11-03 00:00:00+00","","https://www.oxnard.org/city-department/city-clerk/",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16409/change/"
586,586,"Baltimore Mayor","MD","LOCAL","US",1,"","http://www.baltimorecitycouncil.com/","2020-11-03 00:00:00+00","All districts and Mayor are up for election.","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/17975/change/"
726,726,"Pennsylvania Auditor General","PA","STATE","US",1,"4 years","http://www.auditorgen.state.pa.us/","2020-11-03 00:00:00+00","Attorney General, Auditor General, Treasurer, House, and odd numbered Senate districts","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/13759/change/"
1342,936,"Portland City Council","OR","LOCAL","US",4,"4 years","http://www.portlandonline.com/?c=25999","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16209/change/"
1403,905,"California Senate","CA","STATE","US",40,"4 years","http://www.sen.ca.gov/","2020-11-03 00:00:00+00","Odds","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/15984/change/"
1415,581,"Connecticut Senate","CT","STATE","US",36,"2 years","http://www.cga.ct.gov/asp/menu/Senate.asp","2020-11-03 00:00:00+00","","https://ballotpedia.org/Connecticut_State_Senate_elections,_2020",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16211/change/"
1426,545,"Georgia State Senate","GA","STATE","US",56,"2 years","http://www.senate.ga.gov/en-US/default.aspx","2020-11-03 00:00:00+00","All","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16392/change/"
1441,1002,"Illinois Senate","IL","STATE","US",59,"4 years","http://www.ilga.gov/senate/","2020-11-03 00:00:00+00","District 11. Martin Sandoval resigned amid corruption charges.","https://ballotpedia.org/Illinois_state_legislative_special_elections,_2020",True,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/17790/change/"
1441,1002,"Illinois Senate","IL","STATE","US",59,"4 years","http://www.ilga.gov/senate/","2020-11-03 00:00:00+00","20 of 59 districts are up for election.","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/17791/change/"
1444,113,"Iowa State Senate","IA","STATE","US",50,"4 years","https://www.legis.iowa.gov/index.aspx","2020-11-03 00:00:00+00","","https://ballotpedia.org/Iowa_State_Senate_elections,_2020",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16410/change/"
1465,167,"Massachusetts Senate","MA","STATE","US",40,"2 years","http://www.mass.gov/legis/memmenus.htm","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16284/change/"
1474,223,"Minnesota State Senate","MN","STATE","US",67,"4 years","http://www.senate.leg.state.mn.us/","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14585/change/"
1477,361,"Mississippi State Senate","MS","STATE","US",52,"4 years","http://billstatus.ls.state.ms.us/","2020-09-22 00:00:00+00","District 39","",True,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/18233/change/"
