id,sk,name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff
9071,5168,Delta Mayor,BC,LOCAL,CA,1,4 years,http://www.delta.ca/your-government/mayor-council/council-members/mayor-george-v-harvie,2022-10-15 00:00:00+00,,,,
5100,5058,Barrie City Council & Mayor,ON,LOCAL,CA,10,4 years,https://www.barrie.ca/City%20Hall/MayorCouncil/Pages/default.aspx,2022-10-24 00:00:00+00,,,,
8463,4837,Brampton City Council & Mayor,ON,LOCAL,CA,10,4 years,https://www.brampton.ca//en/City-Hall/CouncilOffice/Pages/Welcome.aspx,2022-10-24 00:00:00+00,,,,
5047,5045,Burlington City Council & Mayor,ON,LOCAL,CA,6,4 years,https://www.burlington.ca/en/services-for-you/Council-Members-and-Wards.asp,2022-10-24 00:00:00+00,,,,
5156,5079,Cambridge City Council & Mayor,ON,LOCAL,CA,8,4 years,https://www.cambridge.ca/en/your-city/City-Council-Members.aspx,2022-10-24 00:00:00+00,,,,
8867,5173,Chatham-Kent Municipal Council & Mayor,ON,LOCAL,CA,17,4 years,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Councillors-by-Ward.aspx,2022-10-24 00:00:00+00,,,,
5054,5049,Greater Sudbury City Council & Mayor,ON,LOCAL,CA,12,4 years,https://www.greatersudbury.ca/city-hall/mayor-and-council/,2022-10-24 00:00:00+00,,,,
6558,5075,Guelph City Council & Mayor,ON,LOCAL,CA,12,4 years,https://guelph.ca/city-hall/mayor-and-council/,2022-10-24 00:00:00+00,,,,
4929,4841,Hamilton City Council & Mayor,ON,LOCAL,CA,15,4 years,https://www.hamilton.ca/council-committee/mayor-council/city-councillors,2022-10-24 00:00:00+00,,,,
5419,5131,Kingston City Council & Mayor,ON,LOCAL,CA,12,4 years,https://www.cityofkingston.ca/city-hall/city-council,2022-10-24 00:00:00+00,,,,
8863,5155,Milton Town Council & Mayor,ON,LOCAL,CA,8,4 years,https://www.milton.ca/en/town-hall/mayor-and-council.aspx,2022-10-24 00:00:00+00,,,,
6830,4829,Mississauga City Council & Mayor,ON,LOCAL,CA,11,4 years,https://www.mississauga.ca/council/city-council-members/,2022-10-24 00:00:00+00,,,,
5097,5041,Oakville Town Council & Mayor,ON,LOCAL,CA,14,4 years,https://www.oakville.ca/townhall/council.html,2022-10-24 00:00:00+00,,,,
5055,5053,Oshawa City Council & Mayor,ON,LOCAL,CA,10,4 years,https://www.oshawa.ca/city-hall/city-council.asp,2022-10-24 00:00:00+00,,,,
8874,5070,St. Catharines City Council & Mayor,ON,LOCAL,CA,12,4 years,https://www.stcatharines.ca/en/governin/MayorCouncil.asp,2022-10-24 00:00:00+00,,,,
5639,807,Toronto City Council & Mayor,ON,LOCAL,CA,25,,https://www.toronto.ca/city-government/council/,2022-10-24 00:00:00+00,,,,
8864,5164,Waterloo City Council & Mayor,ON,LOCAL,CA,7,4 years,https://www.waterloo.ca/en/government/city-council.aspx?_mid_=775,2022-10-24 00:00:00+00,,,,
5103,5082,Whitby Town Council & Mayor,ON,LOCAL,CA,8,4 years,https://www.whitby.ca/en/townhall/mayorandcouncil.asp,2022-10-24 00:00:00+00,,,,
4925,707,Mayor of Winnepeg,MB,LOCAL,CA,1,4 years,https://www.winnipeg.ca/interhom/mayor/default.asp,2022-10-26 00:00:00+00,Mayor plus 15 councillors,,f,f
4926,744,Winnipeg City Council,MB,LOCAL,CA,15,4 years,http://www.winnipeg.ca/council/,2022-10-26 00:00:00+00,Mayor plus 15 councillors,,f,f
5221,5135,Ajax Town Council & Mayor,ON,LOCAL,CA,6,4 years,https://www.ajax.ca/en/inside-townhall/council-members.aspx,2022-10-31 00:00:00+00,,https://election.ajax.ca/,f,f
5231,5126,Richmond Hill Town Council & Mayor,ON,LOCAL,CA,8,4 years,https://www.richmondhill.ca/en/our-services/Mayor-and-Council.aspx,2022-10-31 00:00:00+00,,,f,f
4431,640,Alabama Governor & Lieutenant Governor,AL,STATE,US,1,4 years,http://www.governor.alabama.gov/,2022-11-08 00:00:00+00,,,f,f
8773,792,Alabama House of Representatives,AL,STATE,US,105,4 years,https://www.legislature.state.al.us/aliswww/ISD/Splash_House.aspx,2022-11-08 00:00:00+00,,,f,f
7742,6967,Alabama Public Service Commission,AL,STATE,US,3,4 years,http://psc.alabama.gov/,2022-11-08 00:00:00+00,2 seats (associates only),"https://ballotpedia.org/Alabama_Public_Service_Commission_election,_2022",f,f
8256,6940,Alabama Secretary of State,AL,STATE,US,1,4 years,https://www.sos.alabama.gov/,2022-11-08 00:00:00+00,,"https://ballotpedia.org/Alabama_Secretary_of_State_election,_2022",f,f
6955,6946,Alabama State Auditor,AL,STATE,US,1,4 years,https://auditor.alabama.gov/,2022-11-08 00:00:00+00,,"https://ballotpedia.org/Alabama_Auditor_election,_2022",f,f
5355,941,Alabama State Senate,AL,STATE,US,35,4 years,http://www.legislature.state.al.us/aliswww/ISD/Splash_Senate.aspx,2022-11-08 00:00:00+00,,,f,f
8377,849,Alaska Governor & Lieutenant Governor,AK,STATE,US,1,4 years,https://gov.alaska.gov/,2022-11-08 00:00:00+00,,,f,f
4812,1044,Alaska House of Representatives,AK,STATE,US,40,2 years,http://akleg.gov/house.php,2022-11-08 00:00:00+00,,,f,f
